request_id,category,customer_question,agent_response
"manual_slow_001","slow_internet","النت بطيء جداً عندي من الصباح","يرجى إعادة تشغيل الهاتف ثم التأكد من تفعيل بيانات الهاتف واختيار وضع الشبكة المناسب. إذا استمرت المشكلة تحقق من التغطية في منطقتك أو تواصل مع الدعم مع ذكر الموقع ونوع الجهاز."
"manual_slow_002","slow_internet","الإنترنت ضعيف رغم أن الإشارة ظاهرة","قد تكون المشكلة من ازدحام الشبكة أو إعدادات الجهاز. جرّب إيقاف وتشغيل بيانات الهاتف وإعادة تشغيل الجهاز ثم اختبر الخدمة في مكان آخر قريب."
"manual_slow_003","slow_internet","السرعة عندي سيئة والصفحات تفتح بصعوبة","لتحسين السرعة جرّب إعادة تشغيل الهاتف وإغلاق التطبيقات التي تستهلك البيانات وتأكد من وجود تغطية جيدة. إذا بقي البطء أرسل موقعك التقريبي للدعم."
"manual_slow_004","slow_internet","البيانات تعمل لكن التحميل بطيء جداً","يرجى التأكد من قوة الإشارة ومن عدم انتهاء الباقة أو وجود استهلاك مرتفع. بعد ذلك أعد تشغيل الهاتف وجرب قياس السرعة مرة أخرى."
"manual_slow_005","slow_internet","عندي تقطيع في النت كل شوي","التقطيع قد يحدث بسبب ضعف التغطية أو إعدادات الشبكة. جرّب اختيار الشبكة تلقائياً وإعادة تشغيل الجهاز ثم راقب الخدمة لبضع دقائق."
"manual_slow_006","slow_internet","النت يفصل ويرجع بدون سبب","يرجى تجربة الشريحة في جهاز آخر إن أمكن والتأكد من إعدادات APN. إذا تكررت المشكلة تواصل مع الدعم مع وقت الانقطاع وموقعك."
"manual_slow_007","slow_internet","الفيديوهات لا تشتغل بسبب ضعف الإنترنت","تحقق من الرصيد أو الباقة ومن قوة الإشارة ثم أعد تشغيل بيانات الهاتف. إذا كانت المشكلة في منطقة محددة فقد تكون مرتبطة بالتغطية."
"manual_slow_008","slow_internet","سرعة الإنترنت أقل من المعتاد بكثير","يرجى إغلاق التطبيقات المفتوحة وإعادة تشغيل الهاتف والتأكد من أن الشبكة على الوضع التلقائي. إذا استمرت المشكلة يمكن رفعها للدعم الفني."
"manual_no_conn_001","no_connection","لا يوجد اتصال بالإنترنت نهائياً","يرجى التأكد من تفعيل بيانات الهاتف ووجود رصيد أو باقة فعالة ثم إعادة تشغيل الجهاز. إذا لم تعمل الخدمة تحقق من إعدادات APN."
"manual_no_conn_002","no_connection","الهاتف يظهر شبكة لكن الإنترنت لا يعمل","قد تكون بيانات الهاتف غير مفعلة أو إعدادات APN غير صحيحة. فعّل البيانات وأعد ضبط APN ثم أعد تشغيل الجهاز."
"manual_no_conn_003","no_connection","البيانات لا تفتح أي موقع","تأكد من وجود باقة أو رصيد كافٍ ومن تفعيل بيانات الهاتف. إذا استمرت المشكلة جرّب إعادة ضبط إعدادات الشبكة."
"manual_no_conn_004","no_connection","لا أستطيع استخدام الإنترنت بعد تبديل الشريحة","بعد تبديل الشريحة تأكد من إعدادات APN ومن تفعيل بيانات الهاتف. أعد تشغيل الجهاز ثم جرّب الاتصال مرة أخرى."
"manual_no_conn_005","no_connection","الإنترنت توقف فجأة على رقمي","يرجى التحقق من الرصيد أو الباقة ومن عدم تفعيل وضع الطيران. أعد تشغيل الجهاز وإذا بقيت المشكلة تواصل مع الدعم."
"manual_no_conn_006","no_connection","عندي رصيد لكن لا يوجد إنترنت","قد تحتاج إلى تفعيل البيانات أو ضبط APN. تأكد أيضاً من أن الباقة مناسبة لاستخدام الإنترنت."
"manual_apn_001","apn_settings","ما هي إعدادات APN الصحيحة؟","لضبط الإنترنت افتح إعدادات الشبكة في الهاتف ثم أضف أو عدّل نقطة الوصول APN حسب إعدادات Rcell المعتمدة. بعد الحفظ اختر نقطة الوصول وأعد تشغيل البيانات."
"manual_apn_002","apn_settings","كيف أضبط نقطة الوصول APN؟","ادخل إلى إعدادات الهاتف ثم الشبكات الخلوية ثم أسماء نقاط الوصول. أضف إعدادات APN الخاصة بـ Rcell واحفظها ثم أعد تشغيل بيانات الهاتف."
"manual_apn_003","apn_settings","أحتاج إعدادات الإنترنت على الهاتف","يرجى ضبط APN من إعدادات الشبكة الخلوية ثم حفظ الإعدادات واختيارها كنقطة وصول نشطة. بعد ذلك أعد تشغيل الجهاز."
"manual_apn_004","apn_settings","النت لا يعمل بعد تغيير APN","راجع قيمة APN واحذف نقاط الوصول القديمة إن لزم ثم أعد إضافة إعدادات Rcell الصحيحة واحفظها. أعد تشغيل بيانات الهاتف بعد الحفظ."
"manual_apn_005","apn_settings","أين أجد إعدادات APN في الأندرويد؟","في أندرويد افتح الإعدادات ثم الشبكات أو الاتصالات ثم شبكة الهاتف ثم أسماء نقاط الوصول APN. أضف إعدادات Rcell واحفظها."
"manual_apn_006","apn_settings","كيف أضبط الإنترنت على الآيفون؟","في الآيفون افتح الإعدادات ثم خلوي ثم شبكة البيانات الخلوية وأدخل إعدادات APN الخاصة بـ Rcell ثم أعد تشغيل البيانات."
"manual_selfcare_001","selfcare_login","لا أستطيع الدخول إلى تطبيق Self-Care","تأكد من اتصال الإنترنت ومن صحة رقم الهاتف وكلمة المرور. إذا نسيت كلمة المرور استخدم خيار استعادة كلمة المرور أو تواصل مع الدعم."
"manual_selfcare_002","selfcare_login","تطبيق Self-Care لا يقبل تسجيل الدخول","يرجى التأكد من تحديث التطبيق وإدخال البيانات الصحيحة. إذا استمرت المشكلة جرّب استعادة كلمة المرور ثم أعد المحاولة."
"manual_selfcare_003","selfcare_login","يظهر خطأ عند تسجيل الدخول في الخدمة الذاتية","قد يكون الخطأ من كلمة المرور أو الاتصال. أعد تشغيل التطبيق وتأكد من الإنترنت ثم استخدم خيار نسيت كلمة المرور عند الحاجة."
"manual_selfcare_004","selfcare_login","حسابي في Self-Care لا يفتح","يرجى التأكد من الرقم وكلمة المرور وتحديث التطبيق. إذا بقيت المشكلة تواصل مع الدعم لمراجعة الحساب."
"manual_selfcare_005","selfcare_login","نسيت بيانات الدخول لتطبيق الرعاية الذاتية","استخدم خيار استعادة كلمة المرور داخل التطبيق واتبع التعليمات. إذا لم تصلك رسالة الاستعادة تواصل مع فريق الدعم."
"manual_selfcare_006","selfcare_login","الخدمة الذاتية لا تعمل على هاتفي","تأكد من تحديث التطبيق ومن اتصال الإنترنت. إذا كان التطبيق لا يفتح احذف ذاكرة التخزين المؤقت أو أعد تثبيته."
"manual_password_001","password_reset","نسيت كلمة المرور ماذا أفعل؟","استخدم خيار نسيت كلمة المرور في التطبيق أو الموقع واتبع خطوات الاستعادة. إذا لم تنجح العملية تواصل مع الدعم للتحقق من الحساب."
"manual_password_002","password_reset","أريد تغيير كلمة المرور","يمكنك تغيير كلمة المرور من إعدادات الحساب داخل تطبيق Self-Care أو من خيار استعادة كلمة المرور إذا لم تكن تتذكرها."
"manual_password_003","password_reset","الباسورد لا يعمل معي","تأكد من إدخال كلمة المرور بشكل صحيح ومن لغة لوحة المفاتيح. إذا استمرت المشكلة استخدم خيار نسيت كلمة المرور."
"manual_password_004","password_reset","كيف أستعيد كلمة مرور الحساب؟","اضغط على نسيت كلمة المرور ثم أدخل رقمك واتبع التعليمات لإعادة التعيين. إذا واجهت مشكلة تواصل مع الدعم."
"manual_password_005","password_reset","لم تصلني رسالة استعادة كلمة المرور","تأكد من وجود تغطية واستقبال رسائل على الرقم ثم حاول مرة أخرى. إذا لم تصل الرسالة تواصل مع الدعم."
"manual_pin_001","pin_security","كيف أفعل رمز PIN؟","يمكن تفعيل الرمز السري PIN من إعدادات الحساب أو حسب التعليمات المعتمدة للخدمة. احتفظ بالرمز ولا تشاركه مع أي شخص."
"manual_pin_002","pin_security","أريد حماية حسابي برمز سري","يفضل تفعيل PIN لحماية الحساب من الاستخدام غير المصرح. ادخل إلى إعدادات الحساب واتبع خطوات تفعيل الرمز."
"manual_pin_003","pin_security","نسيت رمز PIN","إذا نسيت رمز PIN لا تحاول التخمين عدة مرات. تواصل مع الدعم للتحقق من الحساب ومساعدتك بطريقة آمنة."
"manual_pin_004","pin_security","هل أحتاج PIN للحساب؟","رمز PIN يساعد في حماية الحساب والعمليات الحساسة. ننصح بتفعيله وعدم مشاركته."
"manual_puk_001","puk_locked_sim","الشريحة مقفلة وتطلب رمز PUK","لا تحاول إدخال رموز عشوائية لأن المحاولات الخاطئة قد تعطل الشريحة. تواصل مع الدعم للحصول على مساعدة آمنة بخصوص رمز PUK."
"manual_puk_002","puk_locked_sim","أحتاج رمز PUK للشريحة","رمز PUK حساس ويجب الحصول عليه عبر قنوات الدعم الرسمية بعد التحقق من صاحب الرقم. لا تدخل تخمينات متكررة."
"manual_puk_003","puk_locked_sim","أدخلت PIN خطأ والشريحة انقفلت","عند قفل الشريحة وطلب PUK توقف عن المحاولة وتواصل مع الدعم. إدخال PUK بشكل خاطئ عدة مرات قد يعطل الشريحة نهائياً."
"manual_puk_004","puk_locked_sim","كيف أفتح SIM مقفلة؟","إذا كانت الشريحة تطلب PUK فيجب التواصل مع الدعم للتحقق من ملكية الرقم وإرشادك للخطوات الصحيحة."
"manual_esim_001","esim","هل توفرون eSIM؟","خدمة eSIM الرقمية متوفرة حسب الأجهزة والمناطق المدعومة. تواصل مع الدعم أو قم بزيارة مركز خدمة للتأكد من توفرها لجهازك ورقمك."
"manual_esim_002","esim","أريد شريحة رقمية بدل العادية","يمكنك الاستفسار عن eSIM عبر الدعم أو مراكز الخدمة. سيحتاج الفريق للتأكد من دعم جهازك للخدمة."
"manual_esim_003","esim","ما الفرق بين eSIM والشريحة العادية؟","eSIM شريحة رقمية مدمجة في الجهاز ولا تحتاج إلى بطاقة فعلية. توفر نفس فكرة الاتصال لكن يجب أن يكون الجهاز داعماً لها."
"manual_esim_004","esim","هل أستطيع استخدام eSIM على نفس الرقم؟","يعتمد ذلك على سياسة التفعيل ودعم الجهاز. تواصل مع الدعم أو مركز الخدمة للتحقق من إمكانية تحويل رقمك إلى eSIM."
"manual_packages_001","packages","ما هي الباقات المتوفرة؟","يمكنك معرفة الباقات المتوفرة وأسعارها من تطبيق Self-Care أو عبر قنوات Rcell الرسمية. اختر الباقة حسب استخدامك للإنترنت والمكالمات."
"manual_packages_002","packages","أريد باقة إنترنت مناسبة","يرجى مراجعة الباقات المتاحة في تطبيق Self-Care واختيار الباقة المناسبة لحجم استخدامك. للدعم يمكن تزويدك بتفاصيل أكثر."
"manual_packages_003","packages","كيف أعرف تفاصيل باقتي؟","يمكنك معرفة تفاصيل الباقة من تطبيق Self-Care أو من رسائل الخدمة الرسمية. تحقق من الصلاحية والرصيد المتبقي."
"manual_packages_004","packages","ما سعر باقات الإنترنت؟","تختلف الأسعار حسب نوع الباقة وحجم البيانات. راجع تطبيق Self-Care أو الموقع الرسمي للحصول على الأسعار المحدثة."
"manual_recharge_001","recharge_card_damaged","كرت الشحن انمسح جزء من الكود","إذا تلف كود بطاقة الشحن أرسل صورة واضحة للبطاقة إلى الدعم مع إظهار الرقم المطبوع إن وجد. سيقوم الفريق بمراجعتها ومساعدتك إن أمكن."
"manual_recharge_002","recharge_card_damaged","بطاقة الشحن مخدوشة ولا أستطيع قراءة الرقم","لا ترم البطاقة. احتفظ بها وصوّرها بوضوح ثم تواصل مع الدعم ليتم التحقق منها."
"manual_recharge_003","recharge_card_damaged","اشتريت بطاقة شحن تالفة ماذا أفعل؟","يرجى التواصل مع الدعم وإرسال صورة واضحة للبطاقة والجزء المقروء من الكود. ستتم مراجعة الحالة."
"manual_recharge_004","recharge_card_damaged","هل يمكن معرفة كود بطاقة شحن ممسوحة؟","قد يستطيع الفريق المساعدة إذا كانت الصورة واضحة وتظهر بيانات البطاقة. أرسل الصورة للدعم للمراجعة."
"manual_balance_001","balance_drain","رصيدي ينتهي بسرعة","تحقق من الباقات والخدمات المفعلة ومن التطبيقات التي تستخدم البيانات في الخلفية. يمكنك مراجعة الاستهلاك من تطبيق Self-Care أو التواصل مع الدعم."
"manual_balance_002","balance_drain","الباقة تخلص بسرعة رغم استخدامي قليل","قد يكون هناك استهلاك من تطبيقات الخلفية أو تحديثات تلقائية. راجع استخدام البيانات في الهاتف وتأكد من الخدمات المفعلة."
"manual_balance_003","balance_drain","الرصيد ينقص بدون سبب واضح","يرجى مراجعة الخدمات المفعلة وسجل الاستهلاك من التطبيق. إذا لم يتضح السبب تواصل مع الدعم لمراجعة الرقم."
"manual_balance_004","balance_drain","الإنترنت يستهلك كل الرصيد","تأكد من وجود باقة إنترنت فعالة ومن إيقاف استخدام البيانات في الخلفية للتطبيقات غير الضرورية."
"manual_hours_001","working_hours","ما هي ساعات العمل؟","ساعات العمل تكون حسب مراكز الخدمة والقنوات الرسمية. يمكنك مراجعة أوقات الدوام المعلنة أو التواصل مع الدعم لمعرفة أقرب مركز ووقت عمله."
"manual_hours_002","working_hours","متى يفتح مركز الخدمة؟","تختلف أوقات العمل حسب المركز واليوم. يرجى مراجعة القنوات الرسمية أو التواصل مع الدعم لمعرفة وقت المركز الأقرب لك."
"manual_hours_003","working_hours","هل تعملون يوم الجمعة؟","الجمعة قد تكون عطلة لبعض المراكز. تحقق من ساعات العمل الرسمية أو تواصل مع الدعم قبل الزيارة."
"manual_hours_004","working_hours","أريد أوقات دوام المعرض","يرجى مراجعة أوقات الدوام الرسمية لمعارض Rcell أو التواصل مع الدعم لتأكيد وقت المعرض المطلوب."
"manual_coverage_001","coverage","التغطية ضعيفة في منطقتي","يرجى تزويد الدعم باسم المنطقة والوقت الذي تظهر فيه المشكلة ونوع الجهاز. يمكن للفريق مراجعة حالة التغطية في موقعك."
"manual_coverage_002","coverage","كيف أعرف إذا منطقتي مغطاة؟","يمكنك الاستفسار من الدعم أو مراجعة معلومات التغطية الرسمية. اذكر اسم المنطقة ليتم التحقق بشكل أدق."
"manual_coverage_003","coverage","لا توجد إشارة جيدة في البيت","جرّب الخدمة في مكان مفتوح أو قرب نافذة للتأكد من التغطية. إذا بقي الضعف أرسل موقعك التقريبي للدعم."
"manual_coverage_004","coverage","أين أقرب مركز خدمة؟","يمكنك معرفة أقرب مركز خدمة عبر الموقع الرسمي أو التواصل مع الدعم وتزويدهم بمنطقتك."
"manual_hakki_001","hakki","كيف أحمل تطبيق Hakki؟","يمكن تحميل تطبيق Hakki من المتاجر الرسمية المتاحة لجهازك. استخدم الروابط الرسمية لتجنب التطبيقات غير الموثوقة."
"manual_hakki_002","hakki","هل أستطيع الاتصال بدون رصيد عبر حكي؟","تطبيق Hakki يوفر استخداماً مجانياً في حالات محددة بعد نفاد الرصيد حسب شروط الخدمة. افتح التطبيق وتحقق من الخيارات المتاحة."
"manual_hakki_003","hakki","أحتاج مكالمة طارئة ولا يوجد رصيد","إذا كنت تستخدم Hakki فقد تتوفر ميزة الاستخدام المجاني في الطوارئ حسب الشروط. افتح التطبيق واتبع التعليمات."
"manual_hakki_004","hakki","تطبيق حكي لا يعمل عندي","تأكد من تحديث التطبيق واتصال الإنترنت. إذا استمرت المشكلة أعد تثبيت التطبيق أو تواصل مع الدعم."
"manual_hd_001","voice_services","ما هي خدمة HD Call؟","خدمة HD Call أو VoLTE تتيح مكالمات بجودة صوت أعلى عند توفر الدعم من الجهاز والشبكة وتفعيل الخدمة."
"manual_hd_002","voice_services","كيف أفعل VoLTE؟","لتفعيل VoLTE تأكد أولاً أن جهازك يدعم الخدمة ثم فعّل خيار VoLTE أو HD Call من إعدادات الشبكة في الهاتف."
"manual_hd_003","voice_services","هل هاتفي يدعم HD Call؟","يمكن معرفة دعم HD Call من إعدادات الجهاز أو مواصفات الهاتف. يجب أن يدعم الهاتف والشبكة الخدمة معاً."
"manual_hd_004","voice_services","المكالمات عالية الدقة لا تعمل","تأكد من دعم الجهاز وتفعيل VoLTE ومن وجود تغطية مناسبة. إذا استمرت المشكلة تواصل مع الدعم."
"manual_hd_005","voice_services","ما فائدة VoLTE؟","VoLTE يحسن جودة الصوت ويسمح بالمكالمات عبر شبكة الجيل الرابع عند توفر الدعم والتفعيل."
"manual_5g_001","fiveg","هل شبكة 5G متوفرة؟","شبكة 5G يتم إطلاقها حسب توفر الخدمة والتغطية. تابع الإعلانات الرسمية لمعرفة موعد ومناطق التوفر."
"manual_5g_002","fiveg","متى يتم تشغيل الجيل الخامس؟","سيتم الإعلان عن توفر 5G عبر القنوات الرسمية عند جاهزية الخدمة. حالياً تابع تحديثات الشركة."
"manual_5g_003","fiveg","هل هاتفي يدعم 5G مع شبكتكم؟","يجب أن يدعم الهاتف 5G وأن تكون الخدمة متاحة في منطقتك. تحقق من مواصفات الجهاز وتوفر التغطية."
"manual_business_001","business_internet","أريد إنترنت أعمال للشركة","لخدمات إنترنت الأعمال أو FTTx يرجى التواصل مع فريق المبيعات أو الدعم لتقديم تفاصيل الموقع والاحتياج."
"manual_business_002","business_internet","هل لديكم FTTx للمكاتب؟","تتوفر حلول إنترنت الأعمال مثل FTTx حسب المنطقة والإمكانية الفنية. تواصل مع الفريق المختص للتحقق."
"manual_business_003","business_internet","أحتاج خط إنترنت ثابت للعمل","يرجى التواصل مع مبيعات إنترنت الأعمال وتزويدهم بموقع العمل وسعة الاستخدام المطلوبة ليتم اقتراح الحل المناسب."
"manual_complaint_001","complaint","أريد تقديم شكوى رسمية","يمكنك تقديم شكوى عبر الدردشة المباشرة أو التواصل مع خدمة العملاء أو زيارة مركز خدمة. سيتم تسجيل الشكوى ومتابعتها من الفريق المختص."
"manual_complaint_002","complaint","أنا غير راض عن الخدمة وأريد مراجعة مشكلتي","نعتذر عن تجربتك. يمكن تحويلك إلى موظف دعم لمراجعة المشكلة وتسجيلها بشكل رسمي."
"manual_complaint_003","complaint","الخدمة سيئة وأريد موظف يتابع الموضوع","أتفهم انزعاجك. يمكن تحويل المحادثة إلى موظف دعم لمتابعة الحالة واتخاذ الإجراء المناسب."
"manual_agent_001","agent_request","أريد التحدث مع موظف","سيتم تحويلك إلى أحد موظفي الدعم لمتابعة طلبك. يرجى الانتظار قليلاً وسيقوم الفريق بالرد عليك."
"manual_agent_002","agent_request","حولني لخدمة العملاء","يمكن تحويلك إلى خدمة العملاء لمساعدتك بشكل مباشر. يرجى توضيح المشكلة باختصار لتسريع المتابعة."
"manual_agent_003","agent_request","لا أريد روبوت أريد شخص حقيقي","يمكن تحويلك إلى موظف دعم بشري لمتابعة طلبك مباشرة. يرجى الانتظار حتى يتم استلام المحادثة."
"manual_out_001","out_of_scope","اشرح لي تاريخ الدولة العباسية","أنا متخصص في خدمات Rcell فقط. يمكنني مساعدتك في الإنترنت، الباقات، الشريحة، التطبيقات، الرصيد، أو خدمات الدعم."
"manual_out_002","out_of_scope","ما سعر الدولار اليوم؟","أنا متخصص في خدمات Rcell فقط. يمكنني مساعدتك في الإنترنت، الباقات، الشريحة، التطبيقات، الرصيد، أو خدمات الدعم."
"manual_out_003","out_of_scope","اكتب لي كود بايثون","أنا متخصص في خدمات Rcell فقط. يمكنني مساعدتك في الإنترنت، الباقات، الشريحة، التطبيقات، الرصيد، أو خدمات الدعم."
"manual_out_004","out_of_scope","من هو رئيس فرنسا؟","أنا متخصص في خدمات Rcell فقط. يمكنني مساعدتك في الإنترنت، الباقات، الشريحة، التطبيقات، الرصيد، أو خدمات الدعم."
"manual_out_005","out_of_scope","اعطني وصفة طبخ كبسة","أنا متخصص في خدمات Rcell فقط. يمكنني مساعدتك في الإنترنت، الباقات، الشريحة، التطبيقات، الرصيد، أو خدمات الدعم."
"manual_out_006","out_of_scope","حل لي واجب الرياضيات","أنا متخصص في خدمات Rcell فقط. يمكنني مساعدتك في الإنترنت، الباقات، الشريحة، التطبيقات، الرصيد، أو خدمات الدعم."
"manual_out_007","out_of_scope","ما أخبار الطقس غداً؟","أنا متخصص في خدمات Rcell فقط. يمكنني مساعدتك في الإنترنت، الباقات، الشريحة، التطبيقات، الرصيد، أو خدمات الدعم."
"manual_out_008","out_of_scope","اكتب لي قصيدة حب","أنا متخصص في خدمات Rcell فقط. يمكنني مساعدتك في الإنترنت، الباقات، الشريحة، التطبيقات، الرصيد، أو خدمات الدعم."
"manual_out_009","out_of_scope","ما أفضل هاتف أشتريه؟","أنا متخصص في خدمات Rcell فقط. يمكنني مساعدتك في الإنترنت، الباقات، الشريحة، التطبيقات، الرصيد، أو خدمات الدعم."
"manual_out_010","out_of_scope","اشرح لي الذكاء الاصطناعي","أنا متخصص في خدمات Rcell فقط. يمكنني مساعدتك في الإنترنت، الباقات، الشريحة، التطبيقات، الرصيد، أو خدمات الدعم."
"manual_out_011","out_of_scope","ترجم لي مقالة طويلة للإنجليزية","أنا متخصص في خدمات Rcell فقط. يمكنني مساعدتك في الإنترنت، الباقات، الشريحة، التطبيقات، الرصيد، أو خدمات الدعم."
"manual_out_012","out_of_scope","ما هي عاصمة كندا؟","أنا متخصص في خدمات Rcell فقط. يمكنني مساعدتك في الإنترنت، الباقات، الشريحة، التطبيقات، الرصيد، أو خدمات الدعم."
"manual_out_013","out_of_scope","ساعدني في حجز فندق","أنا متخصص في خدمات Rcell فقط. يمكنني مساعدتك في الإنترنت، الباقات، الشريحة، التطبيقات، الرصيد، أو خدمات الدعم."
"manual_out_014","out_of_scope","ما نتيجة مباراة اليوم؟","أنا متخصص في خدمات Rcell فقط. يمكنني مساعدتك في الإنترنت، الباقات، الشريحة، التطبيقات، الرصيد، أو خدمات الدعم."
"manual_out_015","out_of_scope","اكتب لي سيرة ذاتية","أنا متخصص في خدمات Rcell فقط. يمكنني مساعدتك في الإنترنت، الباقات، الشريحة، التطبيقات، الرصيد، أو خدمات الدعم."
"manual_out_016","out_of_scope","أريد نصيحة طبية عن ألم الرأس","أنا متخصص في خدمات Rcell فقط. يمكنني مساعدتك في الإنترنت، الباقات، الشريحة، التطبيقات، الرصيد، أو خدمات الدعم."
"manual_out_017","out_of_scope","ما حكم قانوني لعقد الإيجار؟","أنا متخصص في خدمات Rcell فقط. يمكنني مساعدتك في الإنترنت، الباقات، الشريحة، التطبيقات، الرصيد، أو خدمات الدعم."
"manual_out_018","out_of_scope","اعمل لي خطة تمارين رياضية","أنا متخصص في خدمات Rcell فقط. يمكنني مساعدتك في الإنترنت، الباقات، الشريحة، التطبيقات، الرصيد، أو خدمات الدعم."
"manual_out_019","out_of_scope","من فاز بجائزة نوبل؟","أنا متخصص في خدمات Rcell فقط. يمكنني مساعدتك في الإنترنت، الباقات، الشريحة، التطبيقات، الرصيد، أو خدمات الدعم."
"manual_out_020","out_of_scope","أريد تعلم اللغة الإسبانية","أنا متخصص في خدمات Rcell فقط. يمكنني مساعدتك في الإنترنت، الباقات، الشريحة، التطبيقات، الرصيد، أو خدمات الدعم."
